,ISO3,year,displacements,GID_1,GID_2,num_provinces,num_districts,GFD_matches,GFD_matches_nr,GFD_matches_time_dif,GFD_duration,matching_type,pop_affected_sum_GHSL,pop_affected_mean_GHSL,pop_density_GHSL,pop_affected_sum_GPW,pop_affected_mean_GPW,pop_density_GPW,GDP_affected_sum,cable_affected_sum,plant_affected_sum,power_pole_affected_sum,power_tower_affected_sum,line_affected_sum,mast_affected_sum,communication_tower_affected_sum,doctors_affected_sum,hospital_affected_sum,pharmacy_affected_sum,primary_road_affected_sum,tertiary_road_affected_sum,reservoir_affected_sum,school_affected_sum,university_affected_sum,GDP_affected_mean,education_affected_mean,energy_affected_mean,health_affected_mean,telecommunication_affected_mean,transportation_affected_mean,water_affected_mean,CISI_global_affected_mean,cable_affected_mean,plant_affected_mean,power_pole_affected_mean,power_tower_affected_mean,line_affected_mean,mast_affected_mean,communication_tower_affected_mean,doctors_affected_mean,hospital_affected_mean,pharmacy_affected_mean,primary_road_affected_mean,tertiary_road_affected_mean,reservoir_affected_mean,school_affected_mean,university_affected_mean,GDPpc_mean,HDI_mean,urbanization_mean,landuse_total_mean,elevation_mean,roughness_mean,slope_mean,female_mean,pop_0_14_mean,pop_65_plus_mean,FLOPROS_merged_mean,FLOPROS_modeled_mean,forest_cover_mean
40,BFA,2018.0,669.0,,BFA.10.3_1,,1.0,1,4683,23.0,31.0,1,3484.0,49.0,247.11,6400.0,90.0,453.93,196904288.0,0.0,0.0,19.0,8.0,12.05566,0.0,4.0,1.0,3.0,0.0,51.88213,832.5767900000002,0.0,0.09513,0.0,21878254.22222,0.00062,0.00265,0.00054,0.0008699999999999999,0.01321,0.0,0.00486,0.0,0.0,1.72727,0.72727,1.09597,0.0,0.36364,0.09091,0.27273000000000003,0.0,4.7165599999999985,75.6888,0.0,0.00865,0.0,1664.63574,0.42132,0.00847,0.14103,304.84859,3.78609,0.26058000000000003,0.53632,0.49155,0.04478,0.22222,0.22222,1e-05
41,BGD,2008.0,57440.0,,,,,3,"[3365, 3371, 3372]",4.0,18.33333333333333,2,19982112.0,576.0,1103.61,25357282.0,731.0,1400.48,165604212736.0,23.13607,0.65186,305.0,11097.0,3447.39413,0.0,51.0,67.0,627.0,1475.0,4239.88423,60782.53133,3.65383,2.10887,14.92658,213132834.92407,0.00147,0.02103,0.0022,0.00021,0.02372,6e-05,0.01517,0.03935,0.00111,0.51871,18.87245,5.86292,0.0,0.08673,0.11395,1.06633,2.5085,7.21069,103.37165,0.00621,0.00359,0.02539,2153.05116,0.5261,0.0097,0.66755,12.23208,3.49605,0.24253,0.50454,0.37856,0.049530000000000005,52.8314,2.59588,4e-05
42,BGD,2008.0,2250.0,,,,,1,3327,4.0,9.0,2,5732441.0,381.0,843.77,8497999.0,565.0,1250.84,84733231104.0,13.30272,0.22641,166.0,5956.0,1887.50695,0.0,28.0,21.0,290.0,523.0,2421.96544,43818.70929,2.67079,1.16066,3.16775,163577666.22394,0.0007,0.016390000000000002,0.00103,0.00016,0.02264,7e-05,0.01243,0.03245,0.00055,0.40488,14.52683,4.6036800000000015,0.0,0.06829,0.05122,0.70732,1.27561,5.90723,106.8749,0.006509999999999999,0.00283,0.00773,2056.438710000001,0.52576,0.00864,0.56796,11.63655,3.1565,0.21504,0.50145,0.40436,0.0481,51.15385,2.42308,5e-05
43,BGD,2014.0,542000.0,,,,,4,"[4171, 4174, 4176, 4178]",3.0,24.0,2,15304604.0,557.0,1158.16,21515270.0,784.0,1628.14,201243197440.0,23.13607,0.50248,300.0,9172.0,2848.30958,0.0,55.0,58.0,492.0,1322.0,3657.28399,52771.36618000001,3.41739,1.97096,8.80746,288314036.44699,0.00121,0.0196,0.00212,0.00025,0.02344,7e-05,0.0145,0.04432,0.00096,0.57471,17.57088,5.45653,0.0,0.10536,0.11111,0.94253,2.53257,7.006289999999999,101.09457,0.00655,0.00378,0.01687,2842.41207,0.5776899999999999,0.01181,0.66525,11.90103,3.42109,0.23881,0.50375,0.38536,0.04935,52.43553000000001,2.51146,4e-05
44,BGD,2015.0,96398.0,,,,,1,4259,15.0,27.0,2,1187092.0,278.0,741.75,2987623.0,699.0,1866.8,39861067776.0,0.0,0.0,0.0,1333.0,395.9040700000001,0.0,1.0,2.0,51.0,24.0,599.17587,10632.23151,0.006659999999999999,0.36494,0.57999,225203772.74576,0.00046,0.01077,0.00038,2e-05,0.0204,0.0,0.00949,0.0,0.0,0.0,10.02256,2.9767200000000003,0.0,0.0075200000000000015,0.01504,0.38346,0.18045,4.50508,79.94159,5e-05,0.00274,0.00436,2830.66013,0.58104,0.01147,0.76448,17.36068,3.77676,0.27265,0.5051,0.35431,0.04856,52.82486,2.83051,0.0
45,BGD,2017.0,436191.0,"BGD.2_1,BGD.3_1,BGD.4_1,BGD.5_1,BGD.6_1,BGD.7_1","BGD.2.4_1,BGD.3.1_1,BGD.3.10_1,BGD.4.5_1,BGD.5.7_1,BGD.6.7_1,BGD.7.4_1",6.0,7.0,1,4499,8.0,14.0,2,1418598.0,347.0,877.37,1771333.0,433.0,1095.52,43263770624.0,0.0,0.0,64.0,1109.0,349.06381,0.0,7.0,5.0,61.0,51.0,587.18462,14254.8132,0.01137,0.34552,0.99032,251533550.13953,0.0007099999999999999,0.00925,0.00049,0.00012,0.01655,6e-05,0.00806,0.0,0.0,0.46043,7.97842,2.51125,0.0,0.05036,0.03597,0.43885,0.36691,4.22435,102.55261,8e-05,0.00249,0.007120000000000001,3810.94077,0.59832,0.01423,0.44555,3.2138400000000003,2.89443,0.20595,0.50359,0.31146,0.06056,44.82759,2.03448,9e-05
46,BGD,2017.0,12012.0,BGD.7_1,"BGD.3.6_1,BGD.3.13_1,BGD.7.1_1,BGD.7.2_1,BGD.7.3_1,BGD.7.4_1",1.0,6.0,1,4459,2.0,19.0,1,3795079.0,432.0,825.86,5606618.0,638.0,1220.07,31259871232.0,2.40331,0.22641,49.0,1342.0,472.09007,0.0,5.0,10.0,91.0,64.0,696.15178,7455.03867,0.01254,0.17106,0.26674000000000003,174636152.13408,0.00018,0.01224,0.00058,9e-05,0.01318,0.0,0.00811,0.01835,0.00173,0.37405,10.24427,3.60374,0.0,0.03817,0.07633999999999999,0.69466,0.48855,5.31414,56.90869,0.0001,0.00131,0.00204,2770.78212,0.59624,0.00842,0.53668,9.86531,3.16326,0.21354,0.49999,0.41558,0.04609,53.35196,2.29609,7e-05
47,BGD,2018.0,6000.0,,BGD.2.8_1,,1.0,1,4632,3.0,5.0,1,0.0,0.0,0.0,1226.0,245.0,2676.86,97683584.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,148.37192,0.0,0.0,0.0,48841792.0,0.0,0.0,0.0,0.00119,0.01863,0.0,0.00495,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,74.18596,0.0,0.0,0.0,2369.36816,0.6012,0.00154,0.11596,37.3625,8.5875,0.7434,0.48068,0.36348,0.03889,50.0,2.0,0.00017
48,BGD,2018.0,1260.0,,,,,1,4666,12.0,26.0,2,2133237.0,530.0,1520.99,2919618.0,726.0,2081.68,53023322112.0,0.0,0.07064,143.0,1631.0,468.89245,1.0,45.0,9.0,150.0,87.0,707.82908,12628.42903,1.05732,0.25858000000000003,5.65231,319417603.08434,0.00168,0.01369,0.00117,0.0008900000000000002,0.02252,8e-05,0.01244,0.0,0.00055,1.11719,12.74219,3.66322,0.007809999999999998,0.35156,0.07031,1.17188,0.67969,5.52991,98.6596,0.00826,0.00202,0.044160000000000005,3654.32342,0.60156,0.00885,0.23154,11.30763,4.63669,0.34506,0.50179,0.40861,0.04382,36.80723,1.56627,0.00013000000000000002
49,BGD,2018.0,176.0,,BGD.2.7_1,,1.0,1,4632,0.0,5.0,2,151784.0,564.0,2742.75,294423.0,1094.0,5320.26,4788856832.0,0.0,0.0,0.0,396.0,123.67896,0.0,6.0,0.0,9.0,9.0,265.27208,1797.24286,0.01834,0.02673,0.0,319257122.13333,0.00063,0.02922,0.00038,0.00095,0.03581,1e-05,0.02164,0.0,0.0,0.0,26.4,8.24526,0.0,0.4,0.0,0.6,0.6,17.68481,119.81619,0.00122,0.00178,0.0,3206.484110000001,0.6077100000000001,0.00944,0.36649,7.44238,3.85084,0.27769,0.52005,0.35665,0.05618,53.33333,2.4,0.00011
50,BGR,2010.0,,,,,,1,3591,3.0,9.0,1,47171.0,29.0,325.74,45630.0,28.0,315.1,11933788160.0,0.0,4.83898,7247.0,6822.0,1999.02383,11.0,37.0,26.0,50.0,109.0,1039.0583,19479.11865,23.5105,2.30978,0.14845,36946712.56966,0.0017399999999999998,0.04398,0.00028,0.00063,0.01517,0.00085,0.02131,0.0,0.01812,27.14232,25.55056,7.48698,0.0412,0.13858,0.09738,0.18727,0.40824,3.8916,72.9555,0.08805,0.00865,0.00056,11301.61455,0.7816,0.0069700000000000005,0.25561,675.19872,81.1185,6.940930000000002,0.50722,0.12525999999999998,0.2173,18.04334,18.04334,0.0008
51,BGR,2014.0,1000.0,BGR.28_1,BGR.28.5_1,1.0,1.0,1,4211,0.0,10.0,1,7573.0,36.0,212.44,18626.0,89.0,522.51,1128554624.0,0.0,1.77482,1162.0,927.0,278.15644,1.0,2.0,2.0,5.0,20.0,173.16008,2057.07745,3.06862,0.52215,0.02554,47023109.33333,0.00596,0.0573,0.00041,0.0005,0.01936,0.00122,0.02874,0.0,0.07395,48.41667,38.625,11.58985,0.04167,0.08333,0.08333,0.20833,0.8333299999999999,7.215,85.71155999999998,0.12786,0.02176,0.00106,10202.59505,0.77065,0.00498,0.35954,140.20763,8.98137,0.75878,0.50495,0.12815,0.26683,19.66667,19.66667,0.00018
52,BGR,2015.0,817.0,"BGR.3_1,BGR.11_1,BGR.24_1","BGR.3.2_1,BGR.24.11_1",3.0,2.0,1,4221,0.0,8.0,1,119823.0,157.0,1216.22,57745.0,75.0,586.12,9295730688.0,0.0,0.34235,2878.0,3015.0,837.09472,8.0,16.0,13.0,58.0,97.0,442.96667,8334.3584,2.47761,1.41385,0.31709,79450689.64103,0.00295,0.03984,0.0007700000000000001,0.00093,0.01714,0.00026000000000000003,0.02132,0.0,0.0033200000000000005,27.94175,29.27184,8.127130000000001,0.07767,0.15534,0.12621,0.56311,0.94175,4.30065,80.9161,0.02405,0.01373,0.0030800000000000003,13631.67628,0.78077,0.005220000000000001,0.27214,293.75008,30.93701,2.76262,0.51322,0.15758,0.19511,15.56303,15.56303,0.00036
53,BOL,2011.0,10000.0,,,,,1,3775,29.0,1.0,1,143434.0,1.0,11.6,144369.0,1.0,11.68,19037825024.0,0.0,0.199,1457.0,5053.0,2200.00025,193.0,214.0,122.0,328.0,1462.0,7650.5484700000015,70194.93667000001,44.59958,6.52355,4.28917,2908314.24137,0.00013000000000000002,0.0014199999999999998,0.00028,0.00038,0.00321,9e-05,0.00164,0.0,4e-05,0.28851,1.00059,0.43564,0.03822,0.04238,0.02416,0.06495,0.2895,1.51496,13.89999,0.00883,0.00129,0.00085,5522.42163,0.65594,0.00084,0.04369,286.74934,13.61582,1.0984,0.46733,0.3720000000000001,0.04453,6.15704,6.15704,0.00132
54,BOL,2014.0,189997.0,,,,,1,4117,14.0,111.0,1,98486.0,1.0,2.68,135868.0,1.0,3.7,15987832832.0,0.0,0.27526,1409.0,3893.0,1634.19784,152.0,183.0,79.0,190.0,968.0,4178.89768,38043.9787,49.33202,4.744669999999998,2.22857,5175730.92651,0.00018,0.00221,0.0004,0.00062,0.00377,0.00021,0.00225,0.0,0.00011,0.5683699999999999,1.57039,0.65922,0.06132000000000001,0.07382000000000001,0.03187,0.07664,0.39048,1.68572,15.3465,0.0199,0.00191,0.0009,5913.68534,0.67275,0.00092,0.04355,261.38065,8.56219,0.67361,0.46852,0.37015,0.0471,6.29039,6.29039,0.00053
55,BOL,2015.0,6300.0,,,,,1,4225,2.0,4.0,1,19499.0,2.0,9.19,17690.0,2.0,8.34,4506050560.0,0.0,0.08466,57.0,1185.0,475.39637,30.0,58.0,37.0,57.0,334.0,955.42494,9451.38074,24.34872,1.44439,1.55244,4962610.7489,0.00024,0.00202,0.00055,0.00047,0.00302,0.00032,0.00205,0.0,0.00011,0.0751,1.56126,0.62635,0.03953,0.07642,0.04875,0.0751,0.44005,1.25879,12.45241,0.032080000000000004,0.0019,0.00205,5653.40639,0.67462,0.00151,0.03119,188.14941,4.07239,0.31978,0.46821,0.36961,0.045,6.14317,6.14317,0.0002
56,BOL,2016.0,1467.0,,,,,1,4325,4.0,24.0,1,25779.0,19.0,83.16,3711.0,2.0,11.97,1473214208.0,0.0,0.0,0.0,483.0,223.67946,9.0,25.0,1.0,24.0,25.0,598.0233,4767.40167,0.0,0.5755,0.29037,5151098.629369998,0.00019,0.00268,8e-05,0.00049,0.00486,2e-05,0.00257,0.0,0.0,0.0,1.89412,0.8771700000000001,0.035289999999999995,0.09804,0.00392,0.09412,0.09804,2.34519,18.69569,0.0,0.0022600000000000003,0.00114,7042.95192,0.68414,0.00094,0.0324,1329.63412,56.22729,4.61001,0.48768,0.3391,0.06387999999999999,6.78671,6.78671,0.00027
57,BRA,2008.0,1435.0,,,,,2,"[3263, 3267]",2.5,92.5,2,344331.0,6.0,19.15,273517.0,5.0,15.21,23338469376.0,0.0,0.4462,0.0,2669.0,1064.1156,1.0,185.0,6.0,33.0,29.0,861.37093,10922.86686,4.5857800000000015,0.40891,0.14911,9231989.46835,3e-05,0.00173,2e-05,0.00022,0.00103,2e-05,0.00097,0.0,0.00022,0.0,1.33584,0.53259,0.0005,0.09259,0.003,0.01652,0.01451,0.43112,5.4669,0.0023,0.0002,7e-05,12662.57437,0.66761,0.0006799999999999999,0.01387,57.41481,9.77965,0.81876,0.45057,0.39245,0.03809,15.75475,15.75475,0.00073
58,BRA,2008.0,190000.0,,,,,1,3291,0.0,23.0,1,1719603.0,44.0,124.02,1567885.0,40.0,113.08,106314465280.0,4.91058,5.1459,11956.0,57072.0,15762.27596,34.0,2245.0,145.0,831.0,890.0,12041.66916,164504.61774000002,387.97422,10.06886,19.01806,37969451.88571,0.0007,0.02531,0.0006799999999999999,0.00236,0.01408,0.00157,0.014480000000000003,0.00209,0.00219,5.0855,24.27563,6.7045,0.01446,0.95491,0.06168,0.35347,0.37856,5.12193,69.97219,0.16502999999999998,0.00428,0.00809,8065.94357,0.6551600000000001,0.00521,0.05868,162.76407,10.83251,0.89326,0.45217,0.30024,0.06277,19.024420000000006,19.024420000000006,0.00028
59,BRA,2014.0,10000.0,BRA.22_1,"BRA.9.136_1,BRA.16.316_1,BRA.18.120_1",1.0,3.0,1,4117,29.0,111.0,1,35451.0,4.0,12.7,29518.0,3.0,10.57,6247114240.0,0.0,0.39892,22.0,2625.0,1057.30444,1.0,68.0,0.0,6.0,3.0,531.90505,5309.92471,4.56684,0.18125,0.03739,16100809.89691,4e-05,0.01101,2e-05,0.00055,0.00324,0.00014,0.00495,0.0,0.00129,0.07097,8.46774,3.41066,0.00323,0.21935,0.0,0.01935,0.00968,1.71582,17.12879,0.014730000000000004,0.00058,0.00012,10321.85309,0.71146,0.00099,0.05219,118.16634,9.22198,0.75579,0.41297,0.2709,0.04828,14.685570000000002,14.685570000000002,0.00108
60,BRA,2014.0,40000.0,"BRA.14_1,BRA.16_1","BRA.9.175_1,BRA.20.93_1,BRA.27.92_1",2.0,2.0,1,4150,4.0,41.0,2,149558.0,17.0,62.43,147305.0,16.0,61.49,14095980544.0,0.0,0.65283,335.0,14448.0,4771.43847,11.0,572.0,52.0,130.0,329.0,3045.92882,45523.40053,746.00666,7.40955,3.14831,26596189.70566,0.00156,0.03894,0.00075,0.00336,0.02066,0.01661,0.026810000000000004,0.0,0.00152,0.78089,33.67832,11.12223,0.02564,1.33333,0.12120999999999997,0.30303,0.7669,7.10007,106.11515,1.7389400000000002,0.017269999999999997,0.00734,4381.01745,0.7790199999999999,0.00898,0.34272,359.14872,25.17377,2.17262,0.4736800000000001,0.25482,0.09345,16.87736,16.87736,0.0005099999999999999
61,BRA,2015.0,38740.0,,,,,1,4276,4.0,11.0,1,671766.0,16.0,42.51,659685.0,15.0,41.75,269182730240.0,93.30559,13.06495,1509.0,54081.0,17545.916830000002,67.0,2359.0,154.0,463.0,1195.0,14335.953280000002,158238.09782999998,2037.41351,15.972929999999998,18.47904,117804258.31072,0.00111,0.03305,0.00075,0.00323,0.01834,0.01034,0.02181,0.049530000000000005,0.00693,0.80096,28.70541,9.31312,0.03556,1.25212,0.08174,0.24575,0.6342899999999999,7.6093199999999985,83.9905,1.08143,0.00848,0.00981,16720.6547,0.78104,0.01207,0.3391,302.61836,13.20821,1.14447,0.46122,0.23389,0.08545,18.10703,18.10703,0.00017
62,BRA,2016.0,13562.0,,,,,2,"[4322, 4325]",9.0,19.0,2,448420.0,26.0,80.92,426285.0,25.0,76.93,117328584704.0,112.50748,5.88309,263.0,10720.0,3854.55722,40.0,677.0,62.0,307.0,462.0,3901.14145,45592.13132,349.3767200000001,3.12486,6.83215,110271226.22556,0.00056,0.01522,0.00063,0.00218,0.01082,0.00385,0.01069,0.12902,0.00675,0.30161,12.29358,4.42036,0.04587,0.7763800000000001,0.0711,0.35206,0.52982,4.47379,52.28455,0.40066,0.00358,0.00784,14118.2641,0.7703300000000001,0.01133,0.1756,208.73396,8.7272,0.71536,0.38886,0.21729,0.05101,15.69785,15.69785,0.00031
63,BRA,2017.0,7920.0,BRA.21_1,"BRA.21.322_1,BRA.21.327_1,BRA.25.498_1",1.0,3.0,2,"[4427, 4435]",5.0,13.0,2,156390.0,11.0,29.09,162795.0,11.0,30.29,70111485952.0,24.22113,1.26828,762.0,14166.0,4583.50256,38.0,683.0,96.0,120.0,421.0,3697.22504,39240.05629,73.24941,4.36993,4.0231900000000005,71909216.36103,0.00062,0.02065,0.00065,0.00238,0.01083,0.00092,0.01183,0.0307,0.00161,0.96578,17.95437,5.80926,0.04816,0.86565,0.12167,0.15209,0.53359,4.68596,49.73391,0.09284,0.00554,0.0051,19922.90256,0.78664,0.00732,0.20897,58.43811,8.44927,0.7236100000000001,0.45139,0.23329,0.09723,18.22495,18.22495,0.0001
64,BRA,2018.0,60316.0,,,,,1,4562,12.0,9.0,1,3165.0,0.0,0.84,1683.0,0.0,0.45,475752192.0,0.0,0.002,9.0,1006.0,384.24847,16.0,38.0,0.0,2.0,3.0,204.72163,5432.25745,2.88024,0.01736,0.0,688498.10709,0.0,0.00229,0.0,0.00037,0.0017,5e-05,0.0014,0.0,0.0,0.01622,1.81261,0.69234,0.02883,0.06847,0.0,0.0036,0.00541,0.36887,9.78785,0.00519,3e-05,0.0,10709.15919,0.7680600000000001,0.00127,0.08949,116.64138,4.05645,0.29824,0.355,0.2034,0.03522,15.69609,15.69609,0.00035
