,ISO3,year,disasterno,total_deaths,no_injured,no_affected_EMDAT,no_homeles,total_affected_EMDAT,total_damages_(000_USD),idx,GFD_matches,GFD_matches_nr,GFD_matches_time_dif,GFD_duration,matching_type,pop_affected_sum_GHSL,pop_affected_mean_GHSL,pop_density_GHSL,pop_affected_sum_GPW,pop_affected_mean_GPW,pop_density_GPW,GDP_affected_sum,cable_affected_sum,plant_affected_sum,power_pole_affected_sum,power_tower_affected_sum,line_affected_sum,mast_affected_sum,communication_tower_affected_sum,doctors_affected_sum,hospital_affected_sum,pharmacy_affected_sum,primary_road_affected_sum,tertiary_road_affected_sum,reservoir_affected_sum,school_affected_sum,university_affected_sum,GDP_affected_mean,education_affected_mean,energy_affected_mean,health_affected_mean,telecommunication_affected_mean,transportation_affected_mean,water_affected_mean,CISI_global_affected_mean,cable_affected_mean,plant_affected_mean,power_pole_affected_mean,power_tower_affected_mean,line_affected_mean,mast_affected_mean,communication_tower_affected_mean,doctors_affected_mean,hospital_affected_mean,pharmacy_affected_mean,primary_road_affected_mean,tertiary_road_affected_mean,reservoir_affected_mean,school_affected_mean,university_affected_mean,GDPpc_mean,HDI_mean,urbanization_mean,landuse_total_mean,elevation_mean,roughness_mean,slope_mean,female_mean,pop_0_14_mean,pop_65_plus_mean,FLOPROS_merged_mean,FLOPROS_modeled_mean,forest_cover_mean
557,THA,2006.0,2006-0530,164.0,,2212413.0,,2212413.0,9940.0,0.0,2,"[2949, 2951]",7.0,99.0,2,3156541.0,132.0,323.29,3494392.0,146.0,357.89,263898857472.0,0.0,5.08209,58.0,21002.0,7468.143379999998,39.0,149.0,182.0,426.0,428.0,11896.95511,152459.76225,789.4494900000002,50.9615,32.15879,211457417.84615,0.0048200000000000005,0.02542,0.00059,0.00064,0.03417,0.00763,0.02254,0.0,0.00514,0.05865,21.23559,7.55121,0.03943,0.15066,0.18402,0.43074,0.43276,12.02928,154.15547,0.79823,0.051529999999999986,0.03252,10152.70513,0.68547,0.006409999999999999,0.29368,73.04919,9.86138,0.7770100000000001,0.5123300000000001,0.21134,0.09903,16.67199,16.57143,0.00019
558,IND,2008.0,2008-0486,47.0,,2600000.0,,2600000.0,20000.0,0.0,2,"[3359, 3365]",5.5,24.0,2,12473563.0,443.0,911.37,17051064.0,606.0,1245.82,93501202432.0,0.0,1.5339200000000002,4.0,28645.0,9090.95161,23.0,8.0,84.0,499.0,23.0,6695.30674,32480.01853,54.44881,0.78285,8.11768,108722328.4093,0.00056,0.04881,0.00079,0.00028,0.0201,0.00079,0.02384,0.0,0.00234,0.0061,43.66616,13.85816,0.03506,0.0122,0.12805,0.76067,0.03506,10.20626,49.51222,0.083,0.00119,0.01237,2429.70581,0.52865,0.01031,0.44413,107.39558999999998,6.21857,0.47497,0.48137,0.3767,0.04299,98.73372,7.496510000000002,2e-05
559,SOM,2014.0,2014-0456,,,90000.0,,90000.0,,0.0,1,4201,14.0,23.0,1,180486.0,187.0,638.86,40194.0,41.0,142.27,199152832.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0,192.78121,3996.29317,0.02224,0.03525,0.0,2489410.4,4e-05,0.0,2e-05,0.00066,0.00961,0.0,0.0026100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.27536,0.0,0.04348,0.0,2.79393,57.91729,0.00032,0.0005099999999999999,0.0,389.61953,0.36835,0.0025800000000000003,0.05664,114.32591,2.79203,0.18592,0.5028199999999999,0.47685,0.02832,2.0,2.0,0.00022
560,ARG,2012.0,2012-0593,6.0,,10000.0,,10000.0,,0.0,1,4007,9.0,14.0,1,75447.0,12.0,42.97,58538.0,9.0,33.34,10704721920.0,0.0,0.07125,244.0,3441.0,1288.91469,22.0,31.0,35.0,56.0,110.0,1283.04198,8763.74555,4.71312,0.91026,0.7620600000000001,22583801.51899,0.00025,0.01189,0.00058,0.00061,0.0059,0.00012,0.00629,0.0,0.00019,0.63542,8.960939999999997,3.35655,0.05729,0.08073,0.09115,0.14583,0.28646,3.34126,22.82225,0.01227,0.00237,0.00198,11371.37658,0.80005,0.0020800000000000003,0.07998,54.93748000000001,4.09132,0.33388,0.5008600000000001,0.31132,0.07842,17.396620000000002,17.396620000000002,0.00026000000000000003
561,ZWE,2007.0,2007-0616,24.0,,2000.0,,2000.0,,0.0,1,3242,1.0,23.0,1,0.0,0.0,0.0,244.0,7.0,37.21,15144174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.292539999999999,211.30771,0.0,0.17307999999999998,0.0,2163453.42857,0.00132,0.0,0.00011,0.0,0.00309,0.0,0.00126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92139,23.47863,0.0,0.01923,0.0,1501.87835,0.421,0.00283,0.06835,417.26103,8.79228,0.73222,0.51813,0.46649,0.030660000000000007,2.0,2.0,0.00011
562,GBR,2008.0,2008-0055,,,300.0,,300.0,,0.0,1,3259,14.0,11.0,1,154923.0,198.0,1751.18,149460.0,191.0,1689.43,94033002496.0,645.43022,4.54665,20553.0,4577.0,1354.42891,66.0,94.0,316.0,138.0,555.0,3752.2206,26131.95552,10.42681,43.13636,3.4047300000000003,758330665.29032,0.02939,0.10832,0.00663,0.00624,0.06315,0.00164,0.07336000000000001,5.8146900000000015,0.04096,185.16216,41.23423,12.20206,0.59459,0.84685,2.84685,1.24324,5.0,33.80379,235.42302,0.09394,0.38862,0.03067,36126.15726,0.894,0.04247,0.36268,47.46999,12.53545,1.08969,0.54206,0.21776,0.27066,99.19355,59.3871,0.00026000000000000003
563,PAK,2013.0,2013-0276,234.0,855.0,1496870.0,,1497725.0,1500000.0,0.0,2,"[4078, 4082]",4.0,10.0,2,4852179.0,153.0,448.07,9067190.0,287.0,837.31,206197211136.0,0.14677,5.4591400000000005,1575.0,24990.0,7443.85012,4.0,35.0,36.0,484.0,140.0,8767.15084,46978.8018,52.26673,2.29545,14.982779999999998,134593479.85379,0.0007599999999999999,0.02193,0.0003,9e-05,0.01245,0.0004,0.01159,0.00012,0.00439,1.26608,20.088420000000006,5.9838,0.00322,0.02814,0.02894,0.38907,0.11254000000000003,7.04755,37.76431,0.04202,0.00185,0.01204,4625.21802,0.56128,0.01055,0.5130100000000001,285.31007,11.56196,0.92499,0.48736,0.37807,0.04504,8.10448,6.16937,0.0
564,DZA,2007.0,2007-0449,18.0,,,,,29500.0,0.0,1,3197,12.0,3.0,1,406794.0,323.0,1402.9,274290.0,217.0,945.93,23642273792.0,0.0,0.0006,3.0,1840.0,822.79489,57.0,68.0,564.0,129.0,765.0,2167.40499,10764.12355,0.07556,6.793660000000001,6.46477,179108134.78788,0.00818,0.02312,0.00665,0.0052,0.03599,0.00097,0.02632,0.0,1e-05,0.02857,17.52381,7.8361399999999986,0.54286,0.64762,5.37143,1.2285700000000002,7.285710000000001,20.64195,102.51546,0.00072,0.0647,0.061570000000000014,12586.50284,0.6970000000000001,0.01235,0.3756,359.86333,22.48655,2.04081,0.53269,0.35509,0.1362,19.0,19.0,2e-05
565,NPL,2008.0,2008-0431,50.0,3.0,180000.0,,180003.0,,0.0,3,"[3371, 3382, 3383]",12.0,7.666666666666668,2,34894.0,281.0,2262.05,11327.0,91.0,734.29,707585472.0,0.0,0.0,1.0,163.0,56.64658000000001,0.0,3.0,8.0,7.0,0.0,62.4496,1833.93932,1.32364,0.09194,0.0,39310304.0,0.00043,0.01202,0.0005,0.00045,0.01944,0.00092,0.00978,0.0,0.0,0.0625,10.1875,3.54041,0.0,0.1875,0.5,0.4375,0.0,3.9031,114.62121,0.08273,0.00575,0.0,1396.28559,0.49509,0.00195,0.32569000000000004,343.87198,10.0877,0.7977,0.7126399999999999,0.6168,0.42875,7.444439999999998,2.33333,0.0002
566,PAK,2006.0,2006-0417,,,,,,,0.0,1,2911,3.0,3.0,2,48010.0,18.0,56.76,258829.0,99.0,305.98,13911844864.0,0.0,0.0,85.0,2260.0,530.58392,0.0,4.0,1.0,15.0,0.0,545.92697,2474.5688600000008,0.0075099999999999984,0.23185,0.0,84828322.34146,0.00022,0.01714,5e-05,8e-05,0.00865,0.0,0.008409999999999999,0.0,0.0,0.6746,17.936510000000006,4.21098,0.0,0.03175,0.007940000000000001,0.11905,0.0,4.33275,19.63944,6e-05,0.00184,0.0,4962.09909,0.5214,0.0007099999999999999,0.39332,9.14558,2.09479,0.1314,0.48427,0.37426,0.04688,11.73171,6.12195,0.0
567,BRA,2011.0,2011-0187,2.0,,,13000.0,13000.0,,0.0,1,3810,3.0,3.0,1,124147.0,121.0,376.81,118016.0,115.0,358.2,18514010112.0,2.29338,0.01977,80.0,8234.0,1393.43645,4.0,183.0,29.0,228.0,135.0,1222.59991,14046.00272,2.5089,1.9742,2.30052,203450660.57143,0.0034700000000000004,0.08691,0.0049700000000000005,0.00604,0.03799,0.00032,0.04623,0.03018,0.00026000000000000003,1.05263,108.34211,18.33469,0.05263,2.40789,0.38158,3.0,1.77632,16.08684,184.81583,0.033010000000000005,0.02598,0.03027,7315.33997,0.67448,0.02349,0.09025,281.72645,6.21007,0.5159699999999999,0.46306,0.30125,0.062,28.010990000000003,28.010990000000003,3e-05
568,IND,2005.0,2005-0599,19.0,,2000000.0,250000.0,2250000.0,117000.0,0.0,2,"[2747, 2754]",9.0,13.0,2,992370.0,518.0,2862.51,1849160.0,965.0,5333.94,51276832768.0,0.59587,0.8518600000000001,207.0,7199.0,2101.37064,0.0,10.0,7.0,235.0,30.0,1334.52998,8970.17322,0.73363,1.44177,3.18411,298121120.74419,0.00164,0.05421,0.00111,0.00017,0.02355,5e-05,0.02759,0.00417,0.00596,1.44755,50.34266,14.6949,0.0,0.06992999999999999,0.04895,1.64336,0.20979,9.33238,62.72848000000001,0.00513,0.01008,0.02227,2922.77961,0.56377,0.02707,0.58368,11.43897,3.60803,0.26991,0.49272,0.27044,0.06869,87.7907,9.45349,0.0
569,CHN,2006.0,2006-0394,1.0,,1200.0,,1200.0,,0.0,1,2924,7.0,3.0,1,1369061.0,274.0,1150.93,1267932.0,254.0,1065.92,18182778880.0,12.35206,0.0,98.0,24356.0,7005.264,41.0,79.0,0.0,10.0,3.0,4090.55477,5469.39709,14.76794,7.503419999999998,6.79058,88265916.8932,0.00554,0.16507,3e-05,0.00312,0.03618,0.0009,0.07157000000000001,0.07918,0.0,0.62821,156.12821,44.90554,0.26282,0.50641,0.0,0.0641,0.01923,26.2215,35.06024,0.09467,0.0481,0.04353,4996.98635,0.64023,0.0044,0.13568,1159.08065,10.45573,0.82557,0.48248,0.17987,0.06848,20.0,16.98058,0.0
